6
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,182,16
2,2,170,16
3,2,190,16
4,2,160,16
5,2,192,16
6,2,192,16
1117
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,C13002,378,273,180,62.45,31.05,AAH00053,1900,1950,0,0,0,499,399
2,C14012,424,36,270,23,129.35,AAK00016,2950,3000,0,0,0,499,399
3,C1028,235,240,0,21.05,52.65,AAP00055,1100,1150,0,0,0,499,399
4,C8029,461,313,180,46.55,120.25,AAI00028,5550,5600,0,0,0,499,399
5,R10028,100,347,180,86.55,123.5,AAY00049,10650,10700,0,0,0,499,399
6,R13021,445,399,90,65.45,22.8,AAK00043,1450,1500,0,0,0,499,399
7,C10025,219,351,270,21.4,138.15,AAF00045,2950,3000,0,0,0,499,399
8,C1045,312,43,90,40.15,74.1,AAX00060,2950,3000,0,0,0,499,399
9,C8005,18,333,90,31.2,114.55,AAI00027,3550,3600,0,0,0,499,399
10,R13043,191,385,90,67.95,24.6,AAV00051,1650,1700,0,0,0,499,399
11,R1014,387,97,90,68.075,78.925,AAG00036,5350,5400,0,0,0,499,399
12,C4003,475,227,270,57.025,99.35,AAH00022,5650,5700,0,0,0,499,399
13,C12060,263,338,90,39.35,22.05,AAX00064,850,900,0,0,0,499,399
14,C7055,96,32,270,41.25,146.7,AAX00037,6050,6100,0,0,0,499,399
15,C13001,440,221,180,70.8,27.3,AAG00052,1900,1950,0,0,0,499,399
16,L14009,442,178,90,29.8,150,AAJ00034,4450,4500,0,0,0,499,399
17,U12002,78,128,90,39.58,19.275,AAU00055,750,800,0,0,0,499,399
18,C10031,62,254,0,24.2,137.25,AAJ00049,3300,3350,0,0,0,499,399
19,L8006,269,53,0,38.3,118.8,AAF00032,4550,4600,0,0,0,499,399
20,C3109,50,325,180,52.5,127.65,AAL00023,6700,6750,0,0,0,499,399
21,R1003,358,35,180,61.4,57.25,AAZ00050,3500,3550,0,0,0,499,399
22,L7009,86,60,90,33.975,144.925,AAP00039,4900,4950,0,0,0,499,399
23,C3164,390,99,270,52.75,112.75,AAP00028,5900,5950,0,0,0,499,399
24,C2048,161,146,0,80.5,106.5,AAZ00028,8550,8600,0,0,0,499,399
25,R9000,363,99,90,63.8,105.775,AAG00043,6700,6750,0,0,0,499,399
26,L7035,235,297,180,45.125,144.75,AAC00028,6500,6550,0,0,0,499,399
27,C7049,451,60,180,43.075,137.7,AAR00033,5900,5950,0,0,0,499,399
28,R1011,433,91,90,57.55,54.05,AAF00035,3100,3150,0,0,0,499,399
29,Q1013,445,260,180,76.3,139.8,AAM00040,10650,10700,0,0,0,499,399
30,C8041,389,166,90,46.05,113.75,AAU00037,5200,5250,0,0,0,499,399
31,C1077,369,171,0,58.2,85.175,AAJ00011,4950,5000,0,0,0,499,399
32,C12064,367,190,90,42,23.6,AAB00047,950,1000,0,0,0,499,399
33,C8006,378,284,0,37.8,118.05,AAJ00028,4450,4500,0,0,0,499,399
34,C3040,227,42,270,52.8,122.95,AAY00029,6450,6500,0,0,0,499,399
35,C12002,119,333,0,47.45,20.2,AAI00052,950,1000,0,0,0,499,399
36,C7047,339,159,180,43.275,143.45,AAN00031,6200,6250,0,0,0,499,399
37,C7049,35,27,180,43.075,137.7,AAR00033,5900,5950,0,0,0,499,399
38,R1064,13,79,90,65.1,83.125,AAE00035,5400,5450,0,0,0,499,399
39,C10021,432,339,0,21.55,141.7,AAC00042,3050,3100,0,0,0,499,399
40,FL8000,496,113,0,31.2,115.85,AAN00036,3600,3650,0,0,0,499,399
41,U13001,467,2,90,62.895,30.675,AAY00058,1900,1950,0,0,0,499,399
42,C11037,432,233,90,53.05,81.8,AAN00056,4300,4350,0,0,0,499,399
43,R14019,61,397,90,21.2,123.3,AAC00038,2600,2650,0,0,0,499,399
44,C1079,403,285,270,60.45,85.7,AAL00013,5150,5200,0,0,0,499,399
45,C11033,74,179,180,80,74.25,AAD00006,5900,5950,0,0,0,499,399
46,C7054,97,252,0,39.675,136.825,AAV00036,5400,5450,0,0,0,499,399
47,C3110,344,85,270,55.55,114.45,AAM00024,6350,6400,0,0,0,499,399
48,C5010,110,283,180,69.15,114,AAS00032,7850,7900,0,0,0,499,399
49,C3085,23,286,0,53.95,134.4,AAK00021,7250,7300,0,0,0,499,399
50,Q2001,184,347,180,82.5,120.6,AAJ00038,9900,9950,0,0,0,499,399
51,C8030,66,305,0,29.625,112.5,AAJ00029,3300,3350,0,0,0,499,399
52,C13057,454,208,180,60.7,28.85,AAL00016,1750,1800,0,0,0,499,399
53,C3108,181,149,90,55.55,123.05,AAK00022,6800,6850,0,0,0,499,399
54,C8004,9,223,270,26.25,118.6,AAH00026,3100,3150,0,0,0,499,399
55,C7004,308,105,0,33.25,127.525,AAB00018,4200,4250,0,0,0,499,399
56,R13093,178,350,90,69.95,24.6,AAB00036,1700,1750,0,0,0,499,399
57,C3074,309,269,270,52.8,126.35,AAZ00031,6650,6700,0,0,0,499,399
58,C11062,234,122,180,87.8,66.25,AAD00007,5800,5850,0,0,0,499,399
59,C3151,122,286,270,58.2,122.95,AAH00021,7150,7200,0,0,0,499,399
60,C10031,244,327,0,24.2,137.25,AAJ00049,3300,3350,0,0,0,499,399
61,C14015,353,302,270,20.2,130.25,AAN00019,2600,2650,0,0,0,499,399
62,C11086,74,270,90,21.725,95.075,AAF00049,2050,2100,0,0,0,499,399
63,C11007,303,96,270,41.9,59.6,AAD00046,2450,2500,0,0,0,499,399
64,C3113,473,332,180,54.45,95.4,AAR00027,5150,5200,0,0,0,499,399
65,R1031,70,269,270,61.1,89.7,AAU00047,5450,5500,0,0,0,499,399
66,C9006,425,241,270,67.8,139.3,AAG00027,9400,9450,0,0,0,499,399
67,X12003,496,276,180,42.525,11.6,AAC00041,450,500,0,0,0,499,399
68,C3041,241,300,90,61.8,116.15,AAZ00030,7150,7200,0,0,0,499,399
69,C9039,203,266,90,78.05,8.3,AAU00038,600,650,0,0,0,499,399
70,R9016,179,266,270,76.85,120.45,AAK00047,9250,9300,0,0,0,499,399
71,L7036,403,350,90,44.3,127.5,AAD00029,5600,5650,0,0,0,499,399
72,R9016,193,124,270,76.85,120.45,AAK00047,9250,9300,0,0,0,499,399
73,L8019,140,188,90,43.5,116.75,AAR00042,5050,5100,0,0,0,499,399
74,R10028,201,300,180,86.55,123.5,AAY00049,10650,10700,0,0,0,499,399
75,ZD1001,410,268,0,44,73.2,AAF00044,3200,3250,0,0,0,499,399
76,Q9010,481,131,180,75.5,88.95,AAS00045,6700,6750,0,0,0,499,399
77,C14005,207,157,180,20.35,155.85,AAD00009,3150,3200,0,0,0,499,399
78,C2000,423,198,180,87.175,118.575,AAX00025,10300,10350,0,0,0,499,399
79,C1001,15,90,0,70.85,59.15,AAE00005,4150,4200,0,0,0,499,399
80,C10060,462,296,0,51,141.825,AAK00011,7200,7250,0,0,0,499,399
81,L8002,247,99,270,26.25,121.8,AAD00030,3150,3200,0,0,0,499,399
82,C12002,63,57,0,47.45,20.2,AAI00052,950,1000,0,0,0,499,399
83,C7013,352,302,270,39.725,127.3,AAJ00026,5050,5100,0,0,0,499,399
84,C2012,426,229,180,89.05,111.25,AAC00009,9900,9950,0,0,0,499,399
85,C11057,429,236,270,22.9,91,AAS00059,2050,2100,0,0,0,499,399
86,C12015,101,264,270,44.45,24.8,AAN00017,1100,1150,0,0,0,499,399
87,C4024,178,177,180,60.55,137.85,AAG00022,8300,8350,0,0,0,499,399
88,C3130,412,377,270,55.55,116.15,AAI00021,6450,6500,0,0,0,499,399
89,C7039,344,383,90,42.25,146.7,AAG00024,6150,6200,0,0,0,499,399
90,C12025,212,142,90,24.3,27.9,AAX00023,650,700,0,0,0,499,399
91,R13050,398,142,180,60.2,37.85,AAB00035,2250,2300,0,0,0,499,399
92,FL8005,288,363,90,36.025,115.675,AAV00041,4150,4200,0,0,0,499,399
93,L14001,31,278,270,19.95,152.75,AAB00026,3000,3050,0,0,0,499,399
94,L7061,443,104,180,37.45,124.3,AAZ00047,4650,4700,0,0,0,499,399
