6
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,190,16
2,2,199,16
3,2,171,16
4,2,185,16
5,2,168,16
6,2,171,16
1445
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,Q15001,29,340,90,33.3,71.8,AAH00036,2350,2400,0,0,0,499,399
2,R15037,278,230,0,26.35,69.4,AAE00040,1800,1850,0,0,0,499,399
3,C10016,257,211,270,36.05,88.6,AAY00059,3150,3200,0,0,0,499,399
4,R1025,134,394,0,67.7,56.5,AAM00042,3800,3850,0,0,0,499,399
5,R1016,301,265,90,73.925,78.925,AAH00037,5800,5850,0,0,0,499,399
6,R1017,278,66,270,65.5,51.1,AAI00038,3300,3350,0,0,0,499,399
7,R12007,337,331,0,53.45,14.65,AAS00048,750,800,0,0,0,499,399
8,C4014,459,308,180,54.5,141.85,AAV00033,7700,7750,0,0,0,499,399
9,C12012,270,125,180,37.8,21.4,AAL00015,800,850,0,0,0,499,399
10,TU16001,461,148,270,57.015,47.285,AAL00049,2650,2700,0,0,0,499,399
11,C3153,87,396,270,59.125,122.95,AAJ00023,7250,7300,0,0,0,499,399
12,ZD11003,415,334,90,23.1,72.55,AAK00049,1650,1700,0,0,0,499,399
13,C3031,350,209,90,56.4,121.25,AAN00022,6800,6850,0,0,0,499,399
14,C11005,285,40,180,26.4,70,AAB00044,1800,1850,0,0,0,499,399
15,ZD11003,123,245,90,23.1,72.55,AAK00049,1650,1700,0,0,0,499,399
16,C3163,80,79,270,52.75,111.1,AAN00027,5850,5900,0,0,0,499,399
17,C3040,385,60,270,52.8,122.95,AAY00029,6450,6500,0,0,0,499,399
18,R9010,389,64,0,71.775,100.45,AAI00045,7200,7250,0,0,0,499,399
19,C12019,451,56,180,26.55,29.5,AAS00020,750,800,0,0,0,499,399
20,C3118,149,7,270,56.35,112.75,AAY00032,6350,6400,0,0,0,499,399
21,C2053,348,237,270,85.65,114.5,AAC00010,9800,9850,0,0,0,499,399
22,C12076,16,38,90,45.6,21.55,AAE00050,950,1000,0,0,0,499,399
23,TU16003,177,308,270,42.015,47.285,AAN00051,1950,2000,0,0,0,499,399
24,R1011,399,342,90,57.55,54.05,AAF00035,3100,3150,0,0,0,499,399
25,R13050,228,42,180,60.2,37.85,AAB00035,2250,2300,0,0,0,499,399
26,C2056,386,270,0,86.65,110.5,AAD00011,9550,9600,0,0,0,499,399
27,C14009,240,152,90,22.8,143.3,AAH00013,3250,3300,0,0,0,499,399
28,C3076,389,61,90,53.75,121.25,AAB00012,6500,6550,0,0,0,499,399
29,U12002,315,158,90,39.58,19.275,AAU00055,750,800,0,0,0,499,399
30,R12006,248,370,0,53.45,16.65,AAR00047,850,900,0,0,0,499,399
31,IC10002,382,161,180,51.15,144.65,AAZ00044,7350,7400,0,0,0,499,399
32,IC12000,463,349,90,44.15,18.2,AAB00025,800,850,0,0,0,499,399
33,IC9006,384,86,180,76,12.65,AAM00036,950,1000,0,0,0,499,399
34,C8027,426,322,90,43.5,114.65,AAG00026,4950,5000,0,0,0,499,399
35,C3152,236,388,180,65,116.725,AAI00022,7550,7600,0,0,0,499,399
36,C11046,276,129,180,87.8,71.05,AAL00014,6200,6250,0,0,0,499,399
37,C9084,37,52,0,72.275,91.9,AAB00023,6600,6650,0,0,0,499,399
38,R1002,462,327,270,57.55,52.2,AAX00048,3000,3050,0,0,0,499,399
