6
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,175,16
2,2,178,16
3,2,152,16
4,2,151,16
5,2,176,16
6,2,164,16
1086
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,C7049,74,372,180,43.075,137.7,AAR00033,5900,5950,0,0,0,499,399
2,C12002,406,198,0,47.45,20.2,AAI00052,950,1000,0,0,0,499,399
3,CE1001,292,129,90,38.95,81.5,AAG00028,3150,3200,0,0,0,499,399
4,R1003,378,286,180,61.4,57.25,AAZ00050,3500,3550,0,0,0,499,399
5,FB14000,126,90,180,20.1,145.9,AAX00041,2900,2950,0,0,0,499,399
6,C11054,295,273,180,24.85,98.75,AAX00022,2450,2500,0,0,0,499,399
7,C5000,213,380,270,63.6,123.025,AAP00030,7800,7850,0,0,0,499,399
8,C13000,401,231,90,67.325,43.6,AAF00051,2900,2950,0,0,0,499,399
9,R13019,393,213,90,67.45,22.8,AAJ00042,1500,1550,0,0,0,499,399
10,L7039,411,208,90,37.35,147,AAG00032,5450,5500,0,0,0,499,399
11,C4019,33,102,270,53.075,99.2,AAB00017,5250,5300,0,0,0,499,399
12,CE1001,357,120,90,38.95,81.5,AAG00028,3150,3200,0,0,0,499,399
13,C1045,143,155,90,40.15,74.1,AAX00060,2950,3000,0,0,0,499,399
14,L7010,373,221,270,31.9,143.025,AAR00040,4550,4600,0,0,0,499,399
15,L8018,25,122,180,44.05,110.45,AAP00041,4850,4900,0,0,0,499,399
16,C4022,310,96,0,56,134.4,AAE00020,7500,7550,0,0,0,499,399
17,U13002,287,173,0,69.525,27.195,AAZ00059,1850,1900,0,0,0,499,399
18,C12000,113,320,90,48.95,11.6,AAI00012,550,600,0,0,0,499,399
19,C7006,152,138,90,33.7,128.425,AAD00020,4300,4350,0,0,0,499,399
20,C12028,197,11,90,47.55,26.65,AAS00060,1250,1300,0,0,0,499,399
21,R9016,120,304,270,76.85,120.45,AAK00047,9250,9300,0,0,0,499,399
22,C9081,456,277,90,75.4,92,AAY00041,6900,6950,0,0,0,499,399
23,C11004,153,215,0,21.7,72.65,AAA00043,1550,1600,0,0,0,499,399
24,C3161,7,123,270,59.1,111.05,AAL00025,6550,6600,0,0,0,499,399
25,C7067,82,272,180,44.525,146.625,AAC00021,6500,6550,0,0,0,499,399
26,C3129,400,301,180,62.3,123.35,AAH00020,7650,7700,0,0,0,499,399
27,C3151,204,67,270,58.2,122.95,AAH00021,7150,7200,0,0,0,499,399
28,C12032,190,100,270,49.7,24.8,AAA00005,1200,1250,0,0,0,499,399
29,C9033,360,335,270,72.8,12.15,AAR00036,850,900,0,0,0,499,399
30,C12005,129,165,270,41.4,12.3,AAJ00053,500,550,0,0,0,499,399
31,C7011,57,356,270,34.5,132.8,AAH00024,4550,4600,0,0,0,499,399
