5
No,Table_Qty,Feederslot_Qty,Head_Qty
1,2,189,16
2,2,173,16
3,2,190,16
4,2,165,16
5,2,155,16
1185
No,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Reel_Name,Nozzle_Type1,Nozzle_Type2,Nozzle_Type3,Nozzle_Type4,Nozzle_Type5,Size_X,Size_Y
1,R13089,408,223,180,76.95,38.4,AAX00053,2950,3000,0,0,0,497,399
2,R1093,323,81,270,48.475,77.65,AAY00051,3750,3800,0,0,0,497,399
3,C7047,353,384,180,43.275,143.45,AAN00031,6200,6250,0,0,0,497,399
4,C7026,334,330,90,35.35,122.025,AAU00034,4300,4350,0,0,0,497,399
5,C3079,93,55,270,53.75,126.35,AAE00015,6750,6800,0,0,0,497,399
6,C8013,407,117,0,39.95,117.55,AAS00035,4650,4700,0,0,0,497,399
7,C3034,414,377,270,56.4,122.95,AAR00024,6900,6950,0,0,0,497,399
8,C11083,5,146,0,22.1,106.05,AAC00046,2300,2350,0,0,0,497,399
9,C3130,160,324,270,55.55,116.15,AAI00021,6450,6500,0,0,0,497,399
10,C9033,106,40,270,72.8,12.15,AAR00036,850,900,0,0,0,497,399
11,CN14000,66,41,0,6.865,151.7,AAC00003,1000,1050,0,0,0,497,399
12,C1083,211,90,180,24.7,61.2,AAE00046,1500,1550,0,0,0,497,399
13,L14006,438,276,270,20.2,127.85,AAG00031,2550,2600,0,0,0,497,399
14,C8012,47,264,0,35.025,114.35,AAR00034,4000,4050,0,0,0,497,399
15,L7023,85,377,270,35.35,123.1,AAZ00046,4350,4400,0,0,0,497,399
16,R10069,8,102,90,55.1,146.3,AAB00031,8050,8100,0,0,0,497,399
17,C1018,120,392,0,69.2,53.05,AAY00021,3650,3700,0,0,0,497,399
18,R15040,352,29,180,26.8,73.5,AAG00042,1950,2000,0,0,0,497,399
19,C3037,152,322,90,61.8,121.25,AAV00027,7450,7500,0,0,0,497,399
20,C7049,398,131,180,43.075,137.7,AAR00033,5900,5950,0,0,0,497,399
21,C10025,204,198,270,21.4,138.15,AAF00045,2950,3000,0,0,0,497,399
22,R13044,466,215,270,26,40.1,AAX00052,1000,1050,0,0,0,497,399
23,C1089,183,304,180,28.75,65.1,AAK00052,1850,1900,0,0,0,497,399
24,Q1006,159,375,270,73.5,145.6,AAH00035,10700,10750,0,0,0,497,399
