time,Name,Location_X,Location_Y,Location_Angle,Part_X,Part_Y,Part_Size,Reel_Name,Nozzle_Type1,Nozzle_Type2,Feeder_qty,Size_X,Size_Y,Machine No,Table,FeederNum,Nozzle_Using
1681364232616,312062,436,106,180,37.7,13,490.1,112600066,450,500,171,499,397,1,2,149,450
1681364232616,2412003,447,56,180,42.525,11.6,493.29,11300041,450,500,171,499,399,1,2,153,450
1681364232616,312005,499,393,270,41.4,12.3,509.22,111000053,500,550,171,499,399,1,1,171,500
1681364232616,1212013,99,187,90,19.4,27.5,533.5,112600045,500,550,171,499,399,1,2,33,500
1681364232616,312005,409,54,270,41.4,12.3,509.22,111000053,500,550,171,499,399,1,2,140,500
1681364232616,312005,318,293,270,41.4,12.3,509.22,111000053,500,550,171,499,399,1,1,170,500
1681364232616,312005,121,169,270,41.4,12.3,509.22,111000053,500,550,171,499,399,1,2,139,500
1681364232616,312035,187,187,270,19.6,30.45,596.82,112500064,550,600,171,499,396,1,2,64,550
1681364232616,312001,326,44,90,47.95,11.6,556.22,111000013,550,600,171,499,399,1,2,111,550
1681364232616,312008,277,372,90,45.05,12.3,554.115,111100054,550,600,171,499,399,1,1,94,550
1681364232616,312066,174,134,90,38.35,15.1,579.085,11300048,550,600,171,499,399,1,2,59,550
1681364232616,312039,395,179,90,41.35,14.3,591.305,11300047,550,600,171,499,399,1,2,135,550
1681364232616,312008,411,38,90,45.05,12.3,554.115,111100054,550,600,171,499,399,1,2,140,550
1681364232616,312066,1,80,90,38.35,15.1,579.085,11300048,550,600,171,499,399,1,2,58,550
1681364232616,312001,186,329,90,47.95,11.6,556.22,111000013,550,600,171,499,399,1,1,63,550
1681364232616,312035,406,70,270,19.6,30.45,596.82,112500064,550,600,171,499,399,1,2,63,550
1681364232616,312000,247,55,90,48.95,11.6,567.82,11900012,550,600,171,499,399,1,2,84,550
1681364232616,312008,26,217,90,45.05,12.3,554.115,111100054,550,600,171,499,399,1,1,93,550
1681364232616,312035,485,158,270,19.6,30.45,596.82,112500064,550,600,171,499,399,1,2,63,550
1681364232616,312001,194,245,90,47.95,11.6,556.22,111000013,550,600,171,499,399,1,1,62,550
1681364232616,312034,69,140,0,20.75,27.65,573.7375,11200006,550,600,171,499,399,1,2,23,550
1681364232616,312000,164,202,90,48.95,11.6,567.82,11900012,550,600,171,499,399,1,1,56,550
1681364232616,312067,343,368,90,39.35,15.1,594.185,11400049,550,600,171,499,399,1,1,117,550
1681364232616,39030,482,225,180,72,8.7,626.4,111600035,600,650,171,491,393,1,1,167,600
1681364232616,1212012,264,312,180,22.85,27.65,631.8025,112500044,600,650,171,499,396,1,1,90,600
1681364232616,39030,140,273,180,72,8.7,626.4,111600035,600,650,171,499,396,1,1,166,600
1681364232616,312057,318,122,0,43.45,14.05,610.4725,111900061,600,650,171,499,396,1,2,108,600
1681364232616,1212012,136,158,180,22.85,27.65,631.8025,112500044,600,650,171,499,396,1,2,46,600
1681364232616,312057,374,74,0,43.45,14.05,610.4725,111900061,600,650,171,499,396,1,2,107,600
1681364232616,189029,319,200,90,60.95,10.25,624.7375,112200055,600,650,171,499,399,1,1,109,600
1681364232616,1212012,457,138,180,22.85,27.65,631.8025,112500044,600,650,171,499,399,1,2,45,600
1681364232616,312031,162,291,90,21.6,27.9,602.64,112600025,600,650,171,499,399,1,1,55,600
1681364232616,39030,200,181,180,72,8.7,626.4,111600035,600,650,171,499,399,1,2,68,600
1681364232616,39030,18,78,180,72,8.7,626.4,111600035,600,650,171,499,399,1,2,67,600
1681364232616,312031,37,399,90,21.6,27.9,602.64,112600025,600,650,171,499,399,1,1,54,600
1681364232616,39030,331,340,180,72,8.7,626.4,111600035,600,650,171,499,399,1,1,166,600
1681364232616,312036,491,42,270,20.6,30.45,627.27,112600065,600,650,171,499,399,1,2,168,600
1681364232616,312057,490,128,0,43.45,14.05,610.4725,111900061,600,650,171,499,399,1,2,107,600
1681364232616,39030,51,347,180,72,8.7,626.4,111600035,600,650,171,499,399,1,1,166,600
1681364232616,189029,75,377,90,60.95,10.25,624.7375,112200055,600,650,171,499,399,1,1,108,600
1681364232616,312030,230,72,90,22.6,30.45,688.17,112200062,650,700,171,499,396,1,2,78,650
1681364232616,312044,269,49,270,41.35,16.4,678.14,11800052,650,700,171,499,399,1,2,92,650
1681364232616,312030,275,97,90,22.6,30.45,688.17,112200062,650,700,171,499,399,1,2,77,650
1681364232616,312046,211,183,90,40.35,16.75,675.8625,111000054,650,700,171,499,399,1,2,72,650
1681364232616,312037,477,247,270,21.6,30.45,657.72,11100045,650,700,171,499,399,1,1,163,650
1681364232616,312030,263,189,90,22.6,30.45,688.17,112200062,650,700,171,499,399,1,2,77,650
1681364232616,312046,390,193,90,40.35,16.75,675.8625,111000054,650,700,171,499,399,1,2,71,650
1681364232616,312011,472,213,180,37.775,19.7,744.1675,111100014,700,750,171,484,380,1,1,166,700
1681364232616,312040,460,118,0,46.1,16.1,742.21,11400048,700,750,171,499,396,1,2,157,700
1681364232616,179006,472,347,270,60.45,12.1,731.445,111300041,700,750,171,499,396,1,1,161,700
1681364232616,189027,46,240,0,58.6,12.5,732.5,111900053,700,750,171,499,397,1,1,15,700
